time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 16:03:29,"2,52",20,"2,136",20,"2,347","2,349"
22/02/2025 16:03:30,"2,52",20,"1,78",20,"2,332","2,334"
22/02/2025 16:03:31,"2,519",20,"1,795",20,"2,31","2,312"
22/02/2025 16:03:33,"2,519",20,"1,753",20,"2,286","2,288"
22/02/2025 16:03:34,"2,518",20,"1,808",20,"2,257","2,259"
22/02/2025 16:03:35,"2,517",20,"2,136",20,"2,234","2,236"
22/02/2025 16:03:36,"2,516",20,"2,054",20,"2,222","2,224"
22/02/2025 16:03:37,"2,515",20,"2,175",20,"2,215","2,216"
22/02/2025 16:03:38,"2,514",20,"2,301",20,"2,19","2,191"
22/02/2025 16:03:39,"2,513",20,"3,314",20,"2,227","2,228"
22/02/2025 16:03:40,"2,513",20,"2,433",20,"2,265","2,266"
22/02/2025 16:03:41,"2,513",20,"1,78",20,"2,241","2,242"
22/02/2025 16:03:42,"2,512",20,"1,78",20,"2,223","2,224"
22/02/2025 16:03:43,"2,512",20,"2,669",20,"2,227","2,228"
22/02/2025 16:03:44,"2,51",20,"2,065",20,"2,207","2,208"
22/02/2025 16:03:45,"2,509",20,"2,022",20,"2,167","2,168"
22/02/2025 16:03:46,"2,506",20,"1,921",20,"2,105","2,106"
22/02/2025 16:03:47,"2,505",20,"2,019",20,"2,07","2,071"
22/02/2025 16:03:48,"2,504",20,"2,26",20,"2,06","2,061"
22/02/2025 16:03:49,"2,504",20,"1,759",20,"2,051","2,051"
22/02/2025 16:03:50,"2,502",20,"2,285",20,"2,031","2,032"
22/02/2025 16:03:51,"2,501",20,"2,066",20,"2,019","2,02"
22/02/2025 16:03:52,"2,5",20,"1,8",20,"2,01","2,011"
22/02/2025 16:03:53,"2,5",20,"1,99",20,"2,001","2,002"
22/02/2025 16:03:54,"2,499",20,"3,255",20,"2,015","2,016"
22/02/2025 16:03:55,"2,499",20,"3,321",20,"2,142","2,142"
22/02/2025 16:03:56,"2,501",20,"3,98",20,"2,27","2,27"
22/02/2025 16:03:58,"2,502",20,"2,396",20,"2,383","2,384"
22/02/2025 16:03:59,"2,502",20,"2,673",20,"2,41","2,41"
22/02/2025 16:04:00,"2,503",20,"2,076",20,"2,448","2,448"
22/02/2025 16:04:01,"2,502",20,"3,066",20,"2,427","2,427"
22/02/2025 16:04:02,"2,501",20,"1,921",20,"2,372","2,373"
22/02/2025 16:04:03,"2,5",20,"2,024",20,"2,335","2,335"
22/02/2025 16:04:04,"2,498",20,"2,272",20,"2,291","2,291"
22/02/2025 16:04:05,"2,498",20,"1,786",20,"2,278","2,279"
22/02/2025 16:04:06,"2,496",20,"2,186",20,"2,25","2,25"
22/02/2025 16:04:07,"2,496",20,"1,973",20,"2,27","2,27"
22/02/2025 16:04:08,"2,495",20,"2,46",20,"2,276","2,276"
22/02/2025 16:04:09,"2,498",20,"3,115",20,"2,434","2,434"
22/02/2025 16:04:10,"2,503",20,"3,682",20,"2,713","2,713"
22/02/2025 16:04:11,"2,507",20,"2,974",20,"2,854","2,854"
22/02/2025 16:04:12,"2,51",20,"2,882",20,"2,966","2,966"
22/02/2025 16:04:13,"2,512",20,"1,846",20,"2,969","2,969"
22/02/2025 16:04:14,"2,511",20,"2,146",20,"2,862","2,862"
22/02/2025 16:04:15,"2,511",20,"1,8",20,"2,781","2,782"
22/02/2025 16:04:16,"2,509",20,"2,004",20,"2,68","2,68"
22/02/2025 16:04:17,"2,509",20,"3,012",20,"2,638","2,638"
22/02/2025 16:04:18,"2,51",20,"3,674",20,"2,643","2,643"
